0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
"2.8,0.74,0.48","3.6,0.84,0.61","2.2,0.8,0.6","1.3,0.75,0.58","2.1,0.86,0.55","1.9,0.78,0.67","3.8,0.8,0.7","3.5,0.74,0.66","3.0,0.81,0.56","2.2,0.8,0.52","1.3,0.76,0.75","3.4,0.9,0.77","2.6,0.76,0.54","3.1,0.87,0.55","1.9,0.88,0.46","1.7,0.72,0.52","2.4,0.73,0.66","2.8,0.83,0.77","3.7,0.77,0.78","2.9,0.81,0.48","3.7,0.9,0.55","2.5,0.9,0.74","3.8,0.73,0.7","1.7,0.85,0.5","2.8,0.82,0.57","1.4,0.75,0.76","3.6,0.8,0.55","1.6,0.7,0.55","1.1,0.89,0.49","1.0,0.88,0.46","1.5,0.85,0.65","1.4,0.73,0.54","2.7,0.81,0.54","2.8,0.74,0.62","1.9,0.78,0.61","1.7,0.79,0.75","1.1,0.76,0.76","1.7,0.88,0.67","1.8,0.75,0.67","1.4,0.78,0.57","1.5,0.74,0.48","1.3,0.78,0.51","2.4,0.74,0.59","3.0,0.74,0.51","1.4,0.88,0.56","2.0,0.79,0.62","3.6,0.81,0.64","2.6,0.86,0.63","3.1,0.89,0.74","2.9,0.81,0.54","2.5,0.74,0.78","3.1,0.79,0.72","2.2,0.73,0.5","2.9,0.84,0.55","1.0,0.88,0.48","3.8,0.82,0.59","1.9,0.87,0.61","1.3,0.73,0.46","2.5,0.73,0.76","1.5,0.76,0.72","2.9,0.7,0.5","1.2,0.75,0.7","3.8,0.72,0.78","3.3,0.81,0.7","3.2,0.71,0.74","4.0,0.76,0.69","3.7,0.76,0.48","2.7,0.88,0.52","2.1,0.72,0.63","1.8,0.84,0.5","1.8,0.76,0.79","3.6,0.82,0.65","1.9,0.84,0.61","3.2,0.71,0.48","3.4,0.84,0.64","1.8,0.79,0.57","2.7,0.87,0.78","1.1,0.79,0.75","3.7,0.79,0.78","2.5,0.9,0.7","3.4,0.76,0.72","2.5,0.84,0.68","1.8,0.84,0.57","2.0,0.76,0.53","3.8,0.7,0.7","3.5,0.83,0.5","3.5,0.87,0.55","1.1,0.73,0.46","3.1,0.87,0.75","2.8,0.71,0.62","3.6,0.78,0.65","3.3,0.84,0.79","2.9,0.76,0.51","2.7,0.78,0.51","2.5,0.86,0.51","2.0,0.83,0.8","1.6,0.7,0.63","3.4,0.82,0.79","1.4,0.74,0.6","1.8,0.87,0.77","3.9,0.83,0.47","3.0,0.75,0.73","2.9,0.76,0.73","1.7,0.76,0.69","1.1,0.84,0.48","3.5,0.78,0.73","1.7,0.83,0.49","1.6,0.88,0.59","1.8,0.89,0.62","2.2,0.77,0.57","2.0,0.84,0.75","3.4,0.86,0.63","3.6,0.88,0.67","2.6,0.76,0.57","2.2,0.81,0.55","3.9,0.84,0.62","3.9,0.88,0.68","3.3,0.89,0.68","3.8,0.71,0.61","1.8,0.77,0.47","2.7,0.7,0.71","1.8,0.74,0.53","1.4,0.72,0.49","2.1,0.9,0.73","1.0,0.82,0.51","1.5,0.73,0.72","1.1,0.83,0.68","1.2,0.88,0.62","2.6,0.73,0.76","2.1,0.76,0.5","2.1,0.74,0.66","2.4,0.85,0.59","2.1,0.83,0.58","3.4,0.8,0.63","2.2,0.77,0.56","1.6,0.89,0.55","3.4,0.86,0.76","2.9,0.78,0.58","2.1,0.78,0.47","2.3,0.86,0.51","2.8,0.78,0.51","3.0,0.89,0.77","2.9,0.81,0.64","3.2,0.85,0.49","1.9,0.75,0.53","2.8,0.88,0.68","1.5,0.79,0.62","2.2,0.77,0.56","3.7,0.74,0.63","3.2,0.79,0.7"
"1.1,0.9,0.55","3.6,0.85,0.69","3.6,0.76,0.75","3.5,0.8,0.66","2.8,0.71,0.68","3.3,0.78,0.68","2.6,0.9,0.55","2.3,0.77,0.74","4.0,0.85,0.57","2.2,0.84,0.68","2.8,0.87,0.56","4.0,0.71,0.58","2.4,0.89,0.6","3.2,0.72,0.75","1.9,0.81,0.51","2.3,0.73,0.65","2.5,0.75,0.58","3.0,0.8,0.59","2.5,0.87,0.77","3.7,0.87,0.66","3.5,0.72,0.66","2.6,0.85,0.61","3.8,0.81,0.72","2.2,0.8,0.7","1.8,0.8,0.78","2.7,0.87,0.52","2.1,0.72,0.72","1.3,0.74,0.46","2.1,0.8,0.53","1.7,0.81,0.68","4.0,0.9,0.75","1.9,0.72,0.76","1.4,0.85,0.77","4.0,0.85,0.58","3.1,0.75,0.69","2.2,0.8,0.68","2.4,0.7,0.79","3.3,0.88,0.49","1.2,0.73,0.53","2.4,0.78,0.59","2.6,0.87,0.79","1.0,0.7,0.45","2.8,0.89,0.61","3.0,0.77,0.58","1.4,0.82,0.46","1.1,0.76,0.63","1.2,0.82,0.56","3.7,0.8,0.47","1.1,0.71,0.65","3.2,0.74,0.5","3.6,0.88,0.73","3.2,0.89,0.47","3.2,0.71,0.67","1.1,0.87,0.46","2.2,0.79,0.73","3.5,0.82,0.56","3.6,0.78,0.47","3.9,0.75,0.52","1.8,0.8,0.59","1.7,0.78,0.68","1.2,0.89,0.61","3.4,0.78,0.62","1.3,0.88,0.65","1.9,0.8,0.78","3.2,0.9,0.5","2.0,0.78,0.47","1.5,0.77,0.62","1.2,0.83,0.79","3.8,0.77,0.46","2.1,0.77,0.77","2.9,0.88,0.73","1.9,0.72,0.5","1.7,0.8,0.68","3.6,0.85,0.77","1.3,0.9,0.6","3.8,0.76,0.51","3.1,0.71,0.8","2.9,0.71,0.54","2.3,0.83,0.48","3.8,0.75,0.6","2.1,0.71,0.61","2.0,0.73,0.68","3.3,0.87,0.55","2.2,0.82,0.61","3.4,0.77,0.72","3.8,0.87,0.45","3.6,0.8,0.54","2.1,0.89,0.55","2.4,0.9,0.69","2.0,0.86,0.66","2.0,0.78,0.57","1.8,0.88,0.69","1.9,0.75,0.58","3.6,0.72,0.56","1.6,0.89,0.67","2.1,0.85,0.51","1.2,0.84,0.7","2.4,0.72,0.64","3.5,0.73,0.67","2.6,0.74,0.47","2.2,0.85,0.77","2.0,0.74,0.49","3.1,0.75,0.55","3.7,0.89,0.7","1.3,0.79,0.6","2.7,0.74,0.78","3.2,0.81,0.74","3.7,0.76,0.63","3.8,0.87,0.71","2.9,0.84,0.46","2.6,0.76,0.71","2.9,0.75,0.72","2.0,0.73,0.68","2.0,0.85,0.62","1.1,0.79,0.76","2.9,0.79,0.64","1.2,0.71,0.47","3.1,0.81,0.57","3.6,0.78,0.51","3.6,0.87,0.74","2.3,0.83,0.67","3.1,0.81,0.79","1.6,0.71,0.49","1.5,0.89,0.76","3.4,0.79,0.55","1.3,0.78,0.54","3.9,0.77,0.59","1.2,0.85,0.71","1.5,0.79,0.59","3.4,0.85,0.5","1.5,0.75,0.5","1.9,0.78,0.51","2.7,0.88,0.67","3.3,0.78,0.5","1.3,0.84,0.66","1.3,0.86,0.77","2.7,0.87,0.54","1.3,0.8,0.48","2.1,0.74,0.46","3.5,0.83,0.64","2.9,0.8,0.71","2.9,0.82,0.5","2.8,0.9,0.72","2.6,0.89,0.67","3.4,0.9,0.46","1.9,0.79,0.5","3.9,0.75,0.66","1.1,0.81,0.62","2.2,0.76,0.65","2.5,0.83,0.8"
"2.3,0.79,0.5","2.0,0.72,0.62","2.5,0.83,0.7","1.2,0.87,0.65","3.3,0.88,0.46","3.2,0.84,0.47","1.5,0.82,0.5","3.5,0.88,0.7","3.8,0.8,0.76","3.6,0.86,0.46","1.3,0.84,0.51","2.6,0.88,0.63","1.3,0.89,0.5","2.9,0.87,0.66","2.5,0.82,0.47","1.8,0.72,0.74","1.6,0.78,0.73","2.2,0.75,0.5","4.0,0.8,0.52","2.6,0.73,0.53","3.5,0.78,0.56","2.3,0.8,0.51","1.8,0.71,0.76","3.0,0.88,0.57","2.8,0.84,0.55","1.1,0.89,0.49","2.0,0.72,0.47","2.9,0.87,0.58","2.8,0.71,0.72","2.5,0.87,0.79","1.5,0.71,0.67","4.0,0.77,0.52","1.5,0.8,0.75","2.2,0.89,0.73","2.9,0.82,0.48","2.9,0.79,0.57","2.3,0.88,0.76","4.0,0.83,0.65","3.2,0.86,0.5","3.7,0.83,0.66","2.4,0.71,0.76","1.1,0.81,0.55","1.1,0.83,0.58","3.0,0.86,0.71","2.9,0.85,0.74","1.4,0.83,0.76","3.3,0.72,0.63","1.0,0.88,0.5","3.5,0.81,0.76","3.3,0.84,0.68","1.2,0.84,0.59","1.6,0.87,0.58","2.2,0.75,0.62","2.8,0.87,0.67","1.1,0.82,0.8","3.7,0.82,0.67","3.4,0.75,0.48","2.7,0.73,0.78","2.6,0.89,0.67","2.4,0.81,0.7","3.0,0.71,0.58","2.9,0.82,0.73","1.3,0.87,0.56","2.5,0.79,0.56","3.0,0.77,0.76","2.5,0.84,0.62","1.3,0.82,0.71","3.2,0.76,0.49","1.1,0.84,0.5","3.7,0.73,0.61","3.7,0.88,0.48","3.0,0.72,0.76","2.4,0.87,0.55","2.0,0.89,0.52","1.8,0.8,0.73","3.7,0.85,0.47","2.7,0.8,0.75","1.6,0.82,0.52","3.5,0.86,0.62","1.2,0.86,0.67","1.6,0.87,0.48","2.3,0.71,0.57","1.7,0.86,0.61","1.4,0.85,0.47","2.5,0.8,0.63","3.8,0.85,0.59","3.3,0.81,0.78","2.5,0.73,0.7","3.7,0.71,0.63","3.0,0.72,0.59","2.5,0.72,0.78","1.3,0.73,0.61","1.6,0.7,0.66","3.4,0.85,0.78","2.6,0.89,0.66","2.9,0.82,0.55","3.8,0.74,0.77","2.0,0.79,0.67","1.5,0.84,0.78","3.9,0.81,0.5","1.8,0.78,0.79","2.9,0.89,0.51","1.2,0.87,0.46","2.4,0.71,0.46","2.4,0.79,0.52","3.0,0.89,0.5","4.0,0.82,0.77","3.7,0.74,0.79","1.2,0.77,0.71","1.2,0.71,0.54","2.5,0.87,0.68","2.6,0.85,0.57","1.8,0.71,0.72","2.9,0.7,0.49","2.0,0.8,0.47","2.1,0.88,0.57","3.1,0.81,0.77","3.1,0.85,0.6","1.1,0.76,0.58","1.5,0.8,0.55","3.9,0.72,0.56","2.1,0.75,0.5","2.8,0.81,0.7","1.1,0.71,0.72","2.4,0.81,0.45","1.1,0.72,0.51","2.3,0.84,0.71","4.0,0.74,0.54","2.5,0.79,0.68","2.0,0.73,0.72","2.4,0.75,0.69","1.1,0.78,0.64","2.0,0.78,0.62","2.7,0.85,0.69","2.6,0.76,0.45","1.0,0.79,0.78","1.3,0.83,0.69","1.0,0.82,0.71","3.4,0.9,0.5","2.9,0.77,0.67","3.4,0.86,0.53","3.8,0.81,0.46","2.3,0.79,0.56","2.8,0.77,0.64","3.8,0.73,0.78","1.8,0.75,0.63","1.5,0.84,0.71","1.3,0.88,0.5","3.7,0.75,0.77","2.8,0.8,0.68"
"3.4,0.86,0.53","3.6,0.84,0.73","3.9,0.7,0.5","3.4,0.89,0.74","2.0,0.77,0.61","3.7,0.86,0.77","1.3,0.73,0.6","1.6,0.72,0.6","3.1,0.72,0.64","2.4,0.77,0.66","1.6,0.89,0.54","2.4,0.75,0.6","2.3,0.88,0.48","1.9,0.76,0.52","3.6,0.82,0.73","2.8,0.71,0.72","2.2,0.8,0.62","2.4,0.71,0.72","2.5,0.75,0.63","2.4,0.81,0.79","1.1,0.84,0.78","2.3,0.9,0.54","3.6,0.84,0.52","1.7,0.78,0.53","1.1,0.87,0.69","2.6,0.82,0.74","1.5,0.77,0.57","3.6,0.78,0.72","3.0,0.74,0.72","3.8,0.84,0.76","2.1,0.79,0.62","1.0,0.74,0.72","1.5,0.8,0.63","2.6,0.88,0.5","2.8,0.89,0.59","1.2,0.79,0.5","2.9,0.81,0.73","2.0,0.8,0.67","3.7,0.85,0.79","1.5,0.8,0.64","3.8,0.78,0.61","1.0,0.79,0.49","1.7,0.72,0.73","1.3,0.89,0.69","3.6,0.73,0.72","1.8,0.78,0.66","1.7,0.71,0.66","1.3,0.79,0.67","1.7,0.72,0.79","3.8,0.78,0.51","3.9,0.72,0.63","1.1,0.85,0.54","2.1,0.72,0.62","2.6,0.73,0.57","4.0,0.76,0.73","1.3,0.81,0.69","1.4,0.8,0.64","3.6,0.88,0.57","1.0,0.89,0.77","3.0,0.86,0.54","1.5,0.88,0.73","2.6,0.86,0.56","2.2,0.77,0.54","2.6,0.87,0.56","3.2,0.74,0.71","1.4,0.81,0.72","3.2,0.83,0.52","1.3,0.82,0.7","3.6,0.8,0.6","1.0,0.78,0.6","1.8,0.89,0.57","3.9,0.75,0.75","3.0,0.89,0.62","2.0,0.8,0.58","1.3,0.83,0.72","3.6,0.84,0.6","1.2,0.73,0.75","1.9,0.82,0.68","3.7,0.84,0.56","3.8,0.74,0.65","3.8,0.78,0.51","1.6,0.82,0.77","2.1,0.86,0.65","2.9,0.75,0.5","2.5,0.82,0.63","1.8,0.87,0.7","3.9,0.82,0.71","3.7,0.88,0.63","3.8,0.88,0.74","3.4,0.77,0.55","2.7,0.88,0.46","3.6,0.89,0.46","1.2,0.81,0.59","2.6,0.82,0.49","1.8,0.78,0.72","3.3,0.88,0.77","1.2,0.86,0.54","3.6,0.89,0.74","2.5,0.75,0.79","2.6,0.81,0.6","3.2,0.76,0.54","3.8,0.74,0.48","2.4,0.82,0.7","2.4,0.83,0.71","3.3,0.81,0.47","3.6,0.79,0.76","3.0,0.77,0.74","3.9,0.75,0.72","1.8,0.88,0.67","2.4,0.85,0.63","1.3,0.76,0.54","2.4,0.75,0.47","2.4,0.77,0.8","1.9,0.71,0.65","2.4,0.87,0.48","1.7,0.83,0.53","2.7,0.87,0.49","1.5,0.72,0.64","1.3,0.77,0.63","1.6,0.78,0.57","1.2,0.81,0.72","2.3,0.81,0.56","2.0,0.77,0.51","1.5,0.81,0.58","3.4,0.73,0.62","2.9,0.74,0.64","3.6,0.75,0.56","2.1,0.88,0.75","3.2,0.9,0.76","1.6,0.81,0.53","1.9,0.73,0.51","1.7,0.89,0.64","2.1,0.72,0.59","1.8,0.81,0.79","1.5,0.71,0.68","3.8,0.88,0.6","2.1,0.71,0.6","1.7,0.78,0.76","3.6,0.78,0.55","3.1,0.79,0.63","3.4,0.9,0.56","3.1,0.73,0.59","2.6,0.77,0.64","2.6,0.75,0.7","3.6,0.75,0.57","1.5,0.82,0.48","1.1,0.88,0.61","2.0,0.78,0.69","1.6,0.73,0.7","3.5,0.7,0.69"
"2.2,0.72,0.47","1.1,0.75,0.69","2.4,0.7,0.6","3.5,0.8,0.7","3.9,0.75,0.56","1.3,0.85,0.71","1.4,0.9,0.64","2.8,0.84,0.56","1.6,0.75,0.58","2.0,0.74,0.48","3.7,0.88,0.52","2.6,0.75,0.8","3.3,0.71,0.68","3.1,0.75,0.57","1.3,0.84,0.75","1.1,0.82,0.46","3.6,0.73,0.58","1.2,0.83,0.77","1.1,0.76,0.61","3.5,0.73,0.52","2.6,0.8,0.57","2.4,0.76,0.77","2.2,0.85,0.72","3.0,0.82,0.7","2.3,0.9,0.65","3.1,0.9,0.72","3.3,0.81,0.71","3.0,0.84,0.78","3.0,0.82,0.48","2.3,0.84,0.69","2.2,0.77,0.73","3.4,0.9,0.75","2.8,0.84,0.8","3.3,0.86,0.61","2.2,0.71,0.66","2.3,0.74,0.58","2.3,0.89,0.47","1.2,0.79,0.73","1.5,0.77,0.63","3.0,0.78,0.66","3.8,0.73,0.5","3.7,0.81,0.65","2.7,0.84,0.66","2.4,0.77,0.5","2.6,0.76,0.76","2.3,0.75,0.68","1.9,0.71,0.71","2.0,0.8,0.74","1.6,0.86,0.71","2.7,0.81,0.47","1.8,0.83,0.65","2.1,0.72,0.66","1.5,0.75,0.68","1.7,0.71,0.58","1.4,0.84,0.6","3.7,0.9,0.72","1.9,0.88,0.52","1.7,0.71,0.62","1.9,0.81,0.8","3.6,0.77,0.76","2.8,0.72,0.78","3.5,0.76,0.56","1.3,0.89,0.68","4.0,0.76,0.59","1.9,0.81,0.63","2.4,0.83,0.61","2.4,0.75,0.78","1.5,0.79,0.5","1.6,0.85,0.76","3.2,0.83,0.71","3.4,0.72,0.79","3.3,0.8,0.71","2.6,0.73,0.62","1.2,0.74,0.54","3.2,0.82,0.7","1.8,0.77,0.67","3.9,0.9,0.74","1.3,0.83,0.54","3.3,0.83,0.53","3.9,0.72,0.58","2.1,0.89,0.79","3.5,0.9,0.72","3.6,0.75,0.6","1.5,0.8,0.61","1.8,0.79,0.65","2.7,0.84,0.51","1.9,0.85,0.63","3.2,0.7,0.5","3.6,0.83,0.64","2.6,0.74,0.8","2.9,0.82,0.69","2.8,0.85,0.45","1.6,0.86,0.78","2.1,0.78,0.74","1.9,0.86,0.6","2.0,0.89,0.48","3.4,0.86,0.74","3.4,0.72,0.65","1.6,0.81,0.67","2.5,0.8,0.68","2.6,0.81,0.45","3.7,0.87,0.8","3.6,0.78,0.78","4.0,0.88,0.77","1.6,0.74,0.69","3.8,0.71,0.74","1.1,0.88,0.7","2.5,0.87,0.71","1.6,0.71,0.8","3.3,0.83,0.48","2.9,0.71,0.76","3.0,0.73,0.48","1.7,0.84,0.64","1.4,0.83,0.62","2.7,0.77,0.66","1.4,0.8,0.49","1.6,0.74,0.52","1.9,0.89,0.7","1.6,0.83,0.64","3.3,0.79,0.68","1.2,0.84,0.63","3.0,0.77,0.67","3.2,0.82,0.66","1.7,0.75,0.62","2.0,0.78,0.67","2.3,0.88,0.79","2.2,0.85,0.59","1.2,0.8,0.77","3.9,0.88,0.72","3.5,0.77,0.74","1.4,0.74,0.53","1.4,0.83,0.64","3.7,0.84,0.54","2.5,0.85,0.69","2.5,0.82,0.64","2.8,0.87,0.6","2.3,0.84,0.46","2.5,0.71,0.47","1.4,0.88,0.8","1.2,0.81,0.64","3.8,0.73,0.7","1.1,0.88,0.69","1.0,0.87,0.56","1.0,0.9,0.57","1.6,0.86,0.5","3.3,0.88,0.8","1.1,0.85,0.67","1.0,0.89,0.46","3.3,0.78,0.6","3.0,0.87,0.78"
"2.9,0.85,0.71","2.7,0.84,0.56","2.3,0.89,0.62","3.2,0.77,0.75","2.2,0.78,0.55","1.2,0.75,0.55","4.0,0.89,0.76","4.0,0.75,0.46","3.1,0.77,0.6","1.4,0.8,0.75","3.1,0.9,0.45","3.0,0.79,0.74","3.9,0.77,0.77","3.8,0.76,0.75","2.7,0.73,0.77","3.1,0.75,0.61","2.7,0.74,0.78","3.9,0.71,0.68","3.1,0.9,0.65","2.0,0.87,0.7","3.3,0.82,0.8","3.7,0.9,0.72","1.2,0.85,0.63","2.9,0.88,0.73","2.6,0.76,0.56","1.9,0.89,0.6","1.1,0.78,0.74","3.6,0.88,0.63","3.4,0.74,0.59","2.4,0.71,0.77","2.5,0.86,0.66","2.6,0.82,0.54","2.9,0.76,0.53","3.0,0.86,0.72","1.8,0.71,0.8","3.9,0.71,0.54","3.9,0.78,0.64","2.0,0.82,0.57","3.0,0.76,0.6","1.4,0.74,0.77","1.4,0.81,0.48","1.9,0.87,0.71","3.4,0.86,0.56","3.7,0.72,0.75","3.4,0.85,0.74","1.6,0.71,0.71","3.5,0.89,0.72","2.7,0.89,0.48","3.9,0.77,0.65","2.4,0.87,0.48","3.5,0.75,0.76","1.4,0.73,0.77","3.9,0.75,0.65","1.1,0.75,0.56","2.5,0.76,0.72","2.1,0.79,0.47","2.1,0.8,0.58","1.3,0.85,0.8","1.9,0.88,0.59","3.4,0.72,0.71","2.4,0.82,0.52","3.5,0.88,0.47","1.4,0.89,0.65","3.5,0.76,0.79","3.8,0.84,0.7","3.3,0.84,0.79","1.4,0.75,0.47","2.5,0.79,0.51","3.3,0.82,0.49","3.1,0.84,0.58","3.1,0.76,0.75","2.4,0.74,0.62","1.4,0.88,0.51","1.2,0.75,0.67","2.8,0.72,0.65","1.1,0.82,0.66","1.2,0.83,0.56","2.5,0.83,0.77","2.1,0.79,0.69","2.0,0.76,0.58","1.5,0.81,0.5","1.4,0.77,0.48","1.1,0.81,0.51","1.6,0.86,0.66","2.1,0.86,0.7","3.4,0.77,0.79","3.9,0.89,0.69","1.4,0.75,0.47","2.5,0.8,0.76","2.9,0.74,0.58","2.7,0.84,0.45","2.9,0.7,0.59","3.3,0.8,0.56","1.3,0.73,0.72","3.6,0.76,0.76","3.6,0.75,0.73","1.4,0.73,0.59","3.8,0.88,0.54","1.5,0.89,0.59","1.7,0.86,0.49","2.4,0.74,0.52","3.0,0.71,0.47","2.4,0.78,0.61","1.6,0.84,0.62","3.6,0.75,0.57","1.1,0.85,0.65","1.0,0.84,0.66","3.7,0.86,0.74","3.8,0.82,0.56","3.3,0.72,0.46","2.6,0.73,0.55","2.5,0.72,0.64","1.7,0.84,0.48","1.9,0.9,0.77","3.3,0.79,0.49","3.6,0.73,0.63","3.1,0.75,0.79","2.1,0.9,0.65","1.3,0.83,0.61","2.6,0.85,0.77","3.1,0.88,0.57","1.8,0.75,0.73","2.4,0.79,0.56","1.9,0.71,0.73","2.1,0.77,0.56","3.3,0.84,0.53","2.6,0.8,0.71","3.6,0.84,0.78","2.3,0.81,0.46","3.4,0.82,0.45","2.3,0.75,0.67","3.8,0.77,0.47","1.5,0.76,0.72","1.1,0.71,0.77","1.0,0.72,0.55","2.2,0.71,0.68","1.3,0.75,0.55","3.1,0.74,0.65","1.1,0.82,0.59","2.9,0.77,0.52","2.4,0.89,0.55","2.2,0.75,0.49","3.3,0.74,0.77","1.2,0.81,0.61","3.5,0.8,0.56","1.8,0.85,0.62","1.4,0.83,0.66","2.8,0.82,0.65","1.2,0.83,0.48","2.7,0.74,0.76"
"2.6,0.79,0.51","3.8,0.75,0.62","3.2,0.83,0.78","1.7,0.79,0.74","2.4,0.86,0.54","1.3,0.78,0.5","3.8,0.75,0.73","2.8,0.81,0.74","1.9,0.79,0.54","3.1,0.7,0.61","3.4,0.76,0.74","2.5,0.73,0.78","3.0,0.9,0.69","1.8,0.78,0.75","1.4,0.85,0.7","1.0,0.89,0.48","2.3,0.79,0.49","3.6,0.81,0.49","2.1,0.89,0.77","3.9,0.76,0.79","2.2,0.78,0.64","2.1,0.84,0.65","2.7,0.86,0.46","2.9,0.86,0.67","2.7,0.76,0.56","1.3,0.73,0.51","3.1,0.8,0.72","1.9,0.85,0.61","1.7,0.79,0.58","1.2,0.9,0.63","3.7,0.81,0.76","2.4,0.86,0.68","2.2,0.86,0.69","3.4,0.88,0.62","2.6,0.87,0.51","2.7,0.79,0.68","3.0,0.86,0.68","3.8,0.84,0.78","1.0,0.74,0.72","1.7,0.89,0.69","3.3,0.77,0.5","3.3,0.8,0.69","1.4,0.73,0.48","3.0,0.88,0.74","2.3,0.87,0.75","3.6,0.72,0.68","3.7,0.84,0.48","1.1,0.84,0.47","1.7,0.74,0.55","1.5,0.77,0.49","3.0,0.73,0.6","1.3,0.73,0.77","1.5,0.89,0.61","1.6,0.74,0.59","3.5,0.76,0.73","1.6,0.79,0.79","2.6,0.88,0.78","1.9,0.81,0.72","2.7,0.85,0.67","2.3,0.84,0.67","1.2,0.81,0.65","3.2,0.72,0.59","2.1,0.83,0.62","3.1,0.81,0.69","3.2,0.82,0.72","3.7,0.89,0.55","1.7,0.76,0.63","2.1,0.85,0.57","2.0,0.88,0.6","1.4,0.79,0.62","3.5,0.74,0.65","3.7,0.86,0.78","2.9,0.86,0.72","2.8,0.83,0.56","2.4,0.81,0.78","1.8,0.73,0.6","3.0,0.78,0.45","2.9,0.87,0.64","2.2,0.81,0.7","1.0,0.88,0.52","1.8,0.7,0.48","3.9,0.73,0.67","3.4,0.84,0.65","3.7,0.86,0.71","1.4,0.8,0.5","1.8,0.8,0.78","2.3,0.77,0.59","3.9,0.75,0.59","2.3,0.87,0.58","3.9,0.89,0.77","2.7,0.77,0.61","2.2,0.76,0.76","2.9,0.79,0.79","3.0,0.87,0.77","1.7,0.84,0.53","1.1,0.89,0.72","3.6,0.79,0.66","2.5,0.82,0.61","2.7,0.74,0.77","1.5,0.74,0.62","2.4,0.85,0.79","1.3,0.87,0.62","1.4,0.79,0.46","1.7,0.88,0.69","2.7,0.81,0.69","3.2,0.71,0.53","1.1,0.78,0.49","1.8,0.88,0.7","2.5,0.86,0.62","2.0,0.77,0.68","3.6,0.87,0.52","1.2,0.78,0.8","1.8,0.71,0.6","3.5,0.79,0.78","1.9,0.86,0.77","3.7,0.84,0.68","3.7,0.71,0.79","1.7,0.75,0.65","3.7,0.82,0.5","3.1,0.71,0.65","3.5,0.84,0.52","3.1,0.86,0.6","2.6,0.78,0.63","2.1,0.83,0.55","1.6,0.88,0.48","1.1,0.83,0.56","1.3,0.83,0.78","2.6,0.8,0.57","2.5,0.78,0.79","2.7,0.79,0.49","1.7,0.79,0.73","1.4,0.86,0.64","1.5,0.8,0.5","1.1,0.83,0.72","1.5,0.72,0.45","3.0,0.73,0.47","1.8,0.85,0.67","2.1,0.83,0.55","2.4,0.86,0.57","1.1,0.88,0.66","3.1,0.81,0.67","3.4,0.82,0.8","1.7,0.72,0.52","1.9,0.82,0.46","3.9,0.81,0.46","3.9,0.87,0.52","3.6,0.78,0.64","2.5,0.89,0.61","1.9,0.71,0.52","3.6,0.87,0.71"
